Component,Year,SCAI,SE
OrkShe,1972,2423.09275223679,0.59829
OrkShe,1973,1834.266586108,0.48255
OrkShe,1974,1153.3199785215,0.44159
OrkShe,1975,724.585668668903,0.50387
OrkShe,1976,741.073640314531,0.49112
OrkShe,1977,1000.74499839141,0.4484
OrkShe,1978,1336.21998503628,0.43876
OrkShe,1979,2319.94788257338,0.45207
OrkShe,1980,2635.42568971148,0.4401
OrkShe,1981,2685.97749924882,0.43278
OrkShe,1982,3133.48160745954,0.43273
OrkShe,1983,3553.18619621596,0.434
OrkShe,1984,4423.11730894403,0.43274
OrkShe,1985,5958.65462191804,0.43889
OrkShe,1986,6510.68530989985,0.43414
OrkShe,1987,7967.29247887513,0.44322
OrkShe,1988,10009.6008861411,0.48686
OrkShe,1989,9695.33382712107,0.51253
OrkShe,1990,7146.65718650078,0.52447
OrkShe,1991,3806.25102213734,0.45
OrkShe,1992,2214.98298337386,0.49476
OrkShe,1993,1368.12983184689,0.65892
OrkShe,1994,1444.76217178412,0.61333
OrkShe,1995,3106.3385609316,0.51531
OrkShe,1996,4059.84469743152,0.53377
OrkShe,1997,6320.79329105256,0.5535
OrkShe,1998,8966.94215449957,0.57883
OrkShe,1999,10177.147046582,0.56769
OrkShe,2000,11528.7592858363,0.56579
OrkShe,2001,13533.1836971534,0.57981
OrkShe,2002,12962.2945131077,0.56171
OrkShe,2003,11616.7116520566,0.54511
OrkShe,2004,11423.1811047168,0.53754
OrkShe,2005,10031.6462490982,0.51791
OrkShe,2006,9181.07886380941,0.4796
OrkShe,2007,9125.24474991971,0.50914
OrkShe,2008,10906.3449024033,0.4747
OrkShe,2009,12437.8559480994,0.518
OrkShe,2010,12725.969154851,0.54177
OrkShe,2011,15797.3897551991,0.54642
OrkShe,2012,22225.5987410726,0.5682
OrkShe,2013,25514.4439449559,0.5872
OrkShe,2014,24245.8318713868,0.60924
OrkShe,2015,25336.4664851911,0.6969
Buchan,1972,32.2171848119269,0.95244
Buchan,1973,28.5512295007607,0.76665
Buchan,1974,98.5634003998267,0.7585
Buchan,1975,99.9729850508855,0.81519
Buchan,1976,45.4903401945108,0.8375
