year,A,B,C,D
1987,600000,,,
1988,530000,,,
1989,514000,,,
1990,415000,,,
1991,420000,,,
1992,430000,,,
1993,430000,,,
1994,440000,,,
1995,440000,,,
1996,156000,44000,,
1997,159000,24000,,
1998,254000,22000,,
1999,265000,30000,,
2000,265000,36000,,
2001,265000,36000,,
2002,265000,36000,,
2003,400000,52000,,
2004,460000,38000,,
2005,535000,50000,96000,24150
2006,455000,43000,81600,20528
2007,341000,32000,69360,15396
2008,201000,19000,51673,11470
2009,171000,16000,37722,8373
2010,164000,14000,33855,7515
2011,200000,16000,30000,6659
2012,405000,18000,45000,6659
2013,478000,14000,55000,6659
2014,470000,13000,46750,6659
2015,445000,16000,43604,6659
2016,518000,13000,51084,6659
2017,481608,11375,50740,6659
2018,600588,9669,48427,6659
2019,385008,13190,29326,6659
2020,385008,8954,24528,6659
2021,356357,7750,21604,6659
2022,,,0,0
